"sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"C58",0.328704776397828,0.00010261149409758,0.466962566382019,17.2854393461623,1.4843741885573,12.3934494180397,12.337,0.00993836075638584,""
"C58",0.35356273366065,0.000323866205581429,0.390650144866909,17.9049448529641,1.7743425662778,13.1110645142233,13.0235,0.012995054976315,""
"C58",0.366219714391448,0.000938760693464881,0.329911422768633,18.0771597066623,2.10100994607286,13.5153663916285,13.4055,0.0158582828486701,""
"SJ003",0.487013084389847,0.000285672498539207,0.450900498179024,16.5016749849543,1.53725086434644,18.743684164105,18.70725,0.021904422932584,""
"SJ003",0.465528701316846,0.000224302296531198,0.47382725298063,16.1186431632435,1.4628689595199,18.0952587738997,18.059,0.0198122308410162,""
"SJ003",0.476216193222854,0.000543765322903079,0.406294962681687,16.6725349309342,1.70601962668928,18.2460584350613,18.18225,0.0159498027093802,""
"Sta004",0.403163866272866,0.00109514387959207,0.322228302350644,18.327804325781,2.15110583242832,14.7774785340976,14.6695,0.0134735249443683,""
"Sta004",0.403605293102387,0.00109548631355461,0.329699892673665,17.9148407562802,2.1023579199221,14.9604093326972,14.85125,0.0142335733684855,""
"Sta004",0.393123195947276,0.00150514466881314,0.310976899370881,17.8836370097691,2.22893463135754,14.5825349798839,14.461,0.0167381735597689,""
"Sut002",0.440855201469983,0.00382561281931359,0.268763541279947,17.6299293057967,2.57902235273034,16.4561567272711,16.364,0.0157537374472907,""
"Sut002",0.424505119306126,0.00194514734379257,0.30792623550711,17.4749437766184,2.25101696650963,15.9190152339334,15.91375,0.0112889010238108,""
"Sut002",0.44058867132211,0.0041696436702572,0.253883037366065,18.31856244229,2.73018311010877,16.1406752898737,16.0545,0.0211872514157324,""
"Sta001",0.441898501237255,0.00198420244608624,0.31558179995941,17.1155715891924,2.19641050481713,16.730360571318,16.752,0.010723689720152,""
"Sta001",0.434227282918276,0.00567691051065023,0.24558224311068,17.6071407728734,2.82246457146153,16.2095709763683,16.08,0.0189289382256011,""
"Sta001",0.423499255792535,0.00272747900810491,0.281807228071696,17.8799986109811,2.45965011367132,15.7063913041333,15.61725,0.0135007960821935,""
"Sta005",0.464365503027324,0.000658923672468379,0.396554120119562,16.5334294158652,1.74792580732981,17.8562422186884,17.8515,0.0134906787545915,""
"Sta005",0.437701582423198,0.000726455406323357,0.387353153906759,16.5209819275503,1.78944504147963,16.8360734734315,16.82625,0.0116440844923141,""
"Sta005",0.479518124876021,0.000502729266497884,0.417986889711915,16.4106492290519,1.65829885487001,18.4982946825007,18.4815,0.014096847806169,""
"SJ001",0.467914956731556,0.00311683323390857,0.284695502326374,17.5794335708454,2.43469663165006,17.494017921822,17.498,0.011830140013698,""
"SJ001",0.431287205665594,0.00262472224842354,0.295638810401755,17.2362172953182,2.34457437985899,16.2738389138895,16.28325,0.0103871141800254,""
"SJ001",0.43864379885999,0.00322305663249123,0.28175215378168,17.4124050065083,2.46013090319459,16.4717367284554,16.439,0.0140543638661777,""
"Sta002",0.424508598263785,0.00143722744409736,0.330180160713852,17.2173428175064,2.0992999066369,16.0304624381336,15.99875,0.0107211288778346,""
"Sta002",0.413589909688953,0.00166335145604679,0.318924405311636,17.2831256200125,2.17339021102082,15.5899645159714,15.544,0.0111060843432535,""
"Sta002",0.418406109270608,0.00370829676407021,0.2639718478324,17.8692442134599,2.62583751355196,15.5175282944985,15.421,0.0161813325125138,""
"SJ002",0.578404421937915,0.000226194975848487,0.450805615376253,17.4049298218891,1.53757441548599,21.7388689907039,21.708,0.0571825459125906,""
"SJ002",0.459634243695632,0.00419194361716026,0.255193093909428,18.3708127293772,2.71616747123241,16.8150879443336,16.7705,0.0125888917201745,""
"SJ002",0.424260608007653,0.00153648045621581,0.327522145416937,17.1506735691827,2.11633683480415,16.0490412680234,16.056,0.00925878805529265,""
"Sta003",0.555091609951879,0.0108244597847067,0.163264670692279,23.995588429141,4.24554300462462,17.1592829293968,16.90125,0.0264961798383319,""
"Sta003",0.508284727704258,0.00911548138656499,0.177851756767918,22.5073457955325,3.89733108717305,16.4675578959232,16.2285,0.0259859374260822,""
"Sta003",0.496223867380103,0.00912543670516255,0.17456806311654,22.7842389472855,3.97064141163785,15.938769491966,15.7035,0.0262125590721938,""
