strains,c30_D
But001,2.4
But001,2.5
But001,2.5
But002,0.8
But002,1
But002,1
CC001,1
CC001,1
CC001,0.9
CL001,1.1
CL001,1.1
CL001,1
Gle001,1
Gle001,1
Gle001,1.1
Gle002,1
Gle002,1
Gle002,1
Kin001,1.2
Kin001,1.1
Kin001,1.1
Kin002,0
Kin002,0
Kin002,0
Kin003,0.7
Kin003,0.7
Kin003,0.7
Sut001,1
Sut001,1
Sut001,0.9
SJ001,1.1
SJ001,1
SJ001,1.1
SJ002,1.1
SJ002,1
SJ002,1.1
SJ003,0.8
SJ003,0.8
SJ003,1
Sta001,1
Sta001,1.1
Sta001,1.1
Sta002,1
Sta002,1
Sta002,1.1
Sta003,0.7
Sta003,1
Sta003,0.8
Sta004,2
Sta004,2.2
Sta004,2.4
Sta005,1
Sta005,1
Sta005,0.9
C58,1.4
C58,1.6
C58,1.5
Sut002,0.8
Sut002,1
Sut002,1
Tul001,1.1
Tul001,0.8
Tul001,0.9
Tul002,1.7
Tul002,2
Tul002,2
Tul003,0.7
Tul003,0.7
Tul003,0.8
Tul004,0.7
Tul004,0.8
Tul004,0.8
Teh001,0.8
Teh001,0.9
Teh001,0.7
Teh002,1
Teh002,0.9
Teh002,0.9
Yol001,1.1
Yol001,1
Yol001,1
Yol002,1
Yol002,1
Yol002,1.1
Yub001,1.1
Yub001,1.1
Yub001,1.1
Yub002,1.2
Yub002,1.2
Yub002,1.1
