strains,cip_D
But001,2.8
But001,3
But001,2.9
But002,3
But002,3.1
But002,3
CC001,3
CC001,3.1
CC001,3.2
CL001,3.1
CL001,3
CL001,3
Gle001,2.7
Gle001,2.6
Gle001,2.7
Gle002,3.6
Gle002,3.5
Gle002,3.7
Kin001,3.3
Kin001,3.6
Kin001,3.3
Kin002,2
Kin002,1.9
Kin002,1.8
Kin003,2.6
Kin003,2.7
Kin003,2.6
Sut001,3.2
Sut001,3.3
Sut001,3.2
SJ001,3.3
SJ001,3
SJ001,2.8
SJ002,3.35
SJ002,3.45
SJ002,3.5
SJ003,2.7
SJ003,2.7
SJ003,2.71
Sta001,3
Sta001,3.3
Sta001,3.3
Sta002,2.8
Sta002,2.9
Sta002,2.8
Sta003,3.1
Sta003,3
Sta003,3.2
Sta004,3
Sta004,3.1
Sta004,3
Sta005,3.5
Sta005,3.3
Sta005,3.5
C58,3.7
C58,3.8
C58,4
Sut002,3.2
Sut002,3
Sut002,3
Tul001,3.5
Tul001,3.3
Tul001,3.5
Tul002,2.6
Tul002,2.7
Tul002,2.4
Tul003,3.5
Tul003,3.4
Tul003,3.6
Tul004,3.6
Tul004,3.5
Tul004,3.5
Teh001,2.9
Teh001,3.1
Teh001,3.3
Teh002,3.1
Teh002,3.3
Teh002,3
Yol001,3.6
Yol001,3.8
Yol001,3.5
Yol002,3.6
Yol002,3.3
Yol002,3.6
Yub001,3.7
Yub001,3.7
Yub001,3.6
Yub002,3
Yub002,3
Yub002,3
