strains,weight,block,line
But001,4.855,1,7
But001,2.746,1,7
But001,2.413,1,7
But001,2.531,1,7
But001,5.872,1,7
But001,1.47,2,32
But001,0.102,2,32
But001,0.865,2,32
But001,1.157,2,32
But001,1.796,2,32
But001,7.473,3,9
But001,3.524,3,9
But001,2.56,3,9
But001,1.792,3,9
But001,2.031,3,9
But002,0,1,20
But002,0,1,20
But002,0,1,20
But002,0,1,20
But002,0,1,20
But002,0,2,30
But002,0,2,30
But002,0,2,30
But002,0,2,30
But002,0,2,30
But002,0,3,8
But002,0,3,8
But002,0,3,8
But002,0,3,8
But002,0,3,8
CC001,8.87,1,26
CC001,10.581,1,26
CC001,1.364,1,26
CC001,3.523,1,26
CC001,5.822,1,26
CC001,1.068,2,31
CC001,1.162,2,31
CC001,1.727,2,31
CC001,1.537,2,31
CC001,0.844,2,31
CC001,0.186,3,30
CC001,3.248,3,30
CC001,0.092,3,30
CC001,1.079,3,30
CC001,0.641,3,30
CL001,0.68,2,28
CL001,2.865,2,28
CL001,2.563,2,28
CL001,1.988,2,28
CL001,2.367,2,28
CL001,4.126,1,10
CL001,1.484,1,10
CL001,0.75,1,10
CL001,1.72,1,10
CL001,2.716,1,10
CL001,1.868,3,28
CL001,2.627,3,28
CL001,0.476,3,28
CL001,2.762,3,28
CL001,1.135,3,28
Gle001,1.071,1,30
Gle001,0.576,1,30
Gle001,1.322,1,30
Gle001,1.25,1,30
Gle001,1.946,1,30
Gle001,1.598,2,26
Gle001,0.65,2,26
Gle001,1.75,2,26
Gle001,2.033,2,26
Gle001,0.906,2,26
Gle001,2.267,3,6
Gle001,0.708,3,6
Gle001,0.127,3,6
Gle001,0.139,3,6
Gle001,0.528,3,6
Gle002,3.128,2,25
Gle002,0.994,2,25
Gle002,2.295,2,25
Gle002,3.146,2,25
Gle002,2.201,2,25
Gle002,6.84,1,27
Gle002,1.46,1,27
Gle002,4.051,1,27
Gle002,6.07,1,27
Gle002,2.082,1,27
Gle002,5.474,3,24
Gle002,0.913,3,24
Gle002,0.024,3,24
Gle002,0.248,3,24
Gle002,0.088,3,24
Kin001,0.69,1,21
Kin001,0.824,1,21
Kin001,0.248,1,21
Kin001,0.069,1,21
Kin001,0.035,1,21
Kin001,2.639,2,24
Kin001,0.925,2,24
Kin001,0.267,2,24
Kin001,0.115,2,24
Kin001,0.074,2,24
Kin001,5.752,3,2
Kin001,2.018,3,2
Kin001,3.331,3,2
Kin001,3.437,3,2
Kin001,1.459,3,2
Kin002,0.001,2,21
Kin002,0.084,2,21
Kin002,0.559,2,21
Kin002,0.177,2,21
Kin002,0,2,21
Kin002,0.036,1,28
Kin002,0.024,1,28
Kin002,0,1,28
Kin002,0.147,1,28
Kin002,0,1,28
Kin002,0.032,3,21
Kin002,0,3,21
Kin002,0.186,3,21
Kin002,0.002,3,21
Kin002,0,3,21
Kin003,2.231,1,23
Kin003,0.146,1,23
Kin003,2.555,1,23
Kin003,0.37,1,23
Kin003,3,1,23
Kin003,2.143,2,18
Kin003,3.234,2,18
Kin003,2.44,2,18
Kin003,0.284,2,18
Kin003,1.078,2,18
Kin003,4.578,3,26
Kin003,0.407,3,26
Kin003,1.004,3,26
Kin003,0.731,3,26
Kin003,1.146,3,26
SJ001,3.2,2,14
SJ001,2.36,2,14
SJ001,0.618,2,14
SJ001,2.056,2,14
SJ001,2.326,2,14
SJ001,1.77,1,31
SJ001,1.942,1,31
SJ001,1.927,1,31
SJ001,3.59,1,31
SJ001,2.093,1,31
SJ001,2.456,3,25
SJ001,1.491,3,25
SJ001,2.502,3,25
SJ001,2.128,3,25
SJ001,0.941,3,25
SJ002,2.823,1,9
SJ002,4.013,1,9
SJ002,6.467,1,9
SJ002,0.503,1,9
SJ002,1.486,1,9
SJ002,3.854,2,10
SJ002,3.392,2,10
SJ002,1.807,2,10
SJ002,4.501,2,10
SJ002,0.524,2,10
SJ002,3.489,3,31
SJ002,3.887,3,31
SJ002,1.278,3,31
SJ002,1.276,3,31
SJ002,2.807,3,31
SJ003,0,1,25
SJ003,0,1,25
SJ003,0,1,25
SJ003,0,1,25
SJ003,0,1,25
SJ003,0,2,11
SJ003,0,2,11
SJ003,0,2,11
SJ003,0,2,11
SJ003,0,2,11
SJ003,0,3,29
SJ003,0,3,29
SJ003,0,3,29
SJ003,0,3,29
SJ003,0,3,29
Sta001,0.482,2,6
