strains,k84_D
But001,5.32
But001,5.32
But001,5.31
But002,0
But002,0
But002,0
CC001,4.83
CC001,4.81
CC001,4.81
CL001,0
CL001,0
CL001,0
Gle001,0
Gle001,0
Gle001,0
Gle002,0
Gle002,0
Gle002,0
Kin001,0
Kin001,0
Kin001,0
Kin002,0
Kin002,0
Kin002,0
Kin003,5.32
Kin003,5.32
Kin003,5.24
Sut001,0
Sut001,0
Sut001,0
SJ001,5.35
SJ001,5.71
SJ001,5.52
SJ002,5.3
SJ002,5.45
SJ002,5.61
SJ003,0
SJ003,0
SJ003,0
Sta001,5.39
Sta001,5.23
Sta001,5.22
Sta002,0
Sta002,0
Sta002,0
Sta003,5.11
Sta003,5.21
Sta003,5.01
Sta004,5.31
Sta004,5.48
Sta004,5.43
Sta005,4.55
Sta005,4.52
Sta005,4.49
C58,5.32
C58,5.41
C58,5.3
Sut002,0
Sut002,0
Sut002,0
Tul001,4.91
Tul001,5.18
Tul001,5.31
Tul002,0
Tul002,0
Tul002,0
Tul003,3
Tul003,2.7
Tul003,2.9
Tul004,0
Tul004,0
Tul004,0
Teh001,0
Teh001,0
Teh001,0
Teh002,0
Teh002,0
Teh002,0
Yol001,5.28
Yol001,5.31
Yol001,5.35
Yol002,5.28
Yol002,5.39
Yol002,5.27
Yub001,4.61
Yub001,4.6
Yub001,4.32
Yub002,0
Yub002,0
Yub002,0
