name,walnut,datura,group
But001,3.964333333,2.7458,sus
CC001,2.449166667,2.782933333,sus
Gle001,3.061,1.124733333,ags
Gle002,3.914833333,2.600933333,ags
Kin001,2.359666667,1.458866667,ags
Kin003,2.706166667,1.6898,sus
SJ001,6.539,2.093333333,sus
SJ002,7.18,2.807133333,sus
Sta001,3.789833333,3.0922,sus
Sta002,17.34083333,2.415466667,ags
Sta003,4.033833333,2.5974,sus
Sta004,3.103333333,2.119266667,sus
Sut001,9.560833333,2.294133333,ags
Sut002,3.850833333,1.646666667,ags
Teh001,11.74283333,1.0948,ags
Teh002,7.502666667,1.401666667,ags
Tul001,2.180833333,2.847466667,sus
Tul003,6.6715,3.103666667,ags
Tul004,5.431,1.788733333,ags
Yol001,5.382,4.732266667,sus
Yol002,2.308166667,2.497066667,sus
Yub001,2.8915,3.027,sus
Yub002,4.175,1.449133333,ags
