ags,host1,sus,host2
3.061,walnut,3.964333333,walnut
3.914833333,walnut,2.449166667,walnut
2.359666667,walnut,2.706166667,walnut
17.34083333,walnut,6.539,walnut
9.560833333,walnut,7.18,walnut
3.850833333,walnut,3.789833333,walnut
11.74283333,walnut,4.033833333,walnut
7.502666667,walnut,3.103333333,walnut
6.6715,walnut,2.180833333,walnut
5.431,walnut,5.382,walnut
4.175,walnut,2.308166667,walnut
1.124733333,datura,2.8915,walnut
2.600933333,datura,2.7458,datura
1.458866667,datura,2.782933333,datura
2.415466667,datura,1.6898,datura
2.294133333,datura,2.093333333,datura
1.646666667,datura,2.807133333,datura
1.0948,datura,3.0922,datura
1.401666667,datura,2.5974,datura
3.103666667,datura,2.119266667,datura
1.788733333,datura,2.847466667,datura
1.449133333,datura,4.732266667,datura
,,2.497066667,datura
,,3.027,datura
