strains,rif_D
But001,1.3
But001,1.2
But001,1.3
But002,1.2
But002,1.2
But002,1.3
CC001,1.4
CC001,1.3
CC001,1.3
CL001,1.2
CL001,1.3
CL001,1.3
Gle001,1.1
Gle001,1.2
Gle001,1.2
Gle002,1.4
Gle002,1.3
Gle002,1.2
Kin001,1.5
Kin001,1.5
Kin001,1.3
Kin002,1.3
Kin002,1.2
Kin002,1.2
Kin003,1.5
Kin003,1.6
Kin003,1.5
Sut001,1.1
Sut001,1.2
Sut001,1.2
SJ001,1.25
SJ001,1.3
SJ001,1.2
SJ002,1.28
SJ002,1.35
SJ002,1.32
SJ003,1.3
SJ003,1.2
SJ003,1.3
Sta001,1.2
Sta001,1.2
Sta001,1.2
Sta002,1.5
Sta002,1.4
Sta002,1.4
Sta003,0
Sta003,0
Sta003,0
Sta004,1.2
Sta004,1.1
Sta004,1.1
Sta005,1.2
Sta005,1.2
Sta005,1.1
C58,1.5
C58,1.6
C58,1.7
Sut002,1.3
Sut002,1.5
Sut002,1.3
Tul001,1.3
Tul001,1.4
Tul001,1.2
Tul002,1.6
Tul002,1.5
Tul002,1.5
Tul003,1.2
Tul003,1.3
Tul003,1.2
Tul004,1.3
Tul004,1.2
Tul004,1.2
Teh001,1.2
Teh001,1.2
Teh001,1.3
Teh002,1.3
Teh002,1.4
Teh002,1.3
Yol001,1.2
Yol001,1.3
Yol001,1.3
Yol002,1.3
Yol002,1.4
Yol002,1.3
Yub001,1.4
Yub001,1.4
Yub001,1.4
Yub002,1.5
Yub002,1.5
Yub002,1.5
