strains,te30_D
But001,3.4
But001,3.5
But001,3.3
But002,2.3
But002,2.2
But002,2.3
CC001,3
CC001,2.9
CC001,3.2
CL001,3.1
CL001,3.2
CL001,3
Gle001,2.4
Gle001,2.2
Gle001,2.5
Gle002,2.8
Gle002,2.6
Gle002,2.7
Kin001,2.8
Kin001,3.2
Kin001,3.2
Kin002,3.5
Kin002,3.4
Kin002,3.2
Kin003,3
Kin003,2.8
Kin003,3.1
Sut001,2.2
Sut001,2.3
Sut001,2.3
SJ001,2.5
SJ001,2.45
SJ001,2.4
SJ002,2.5
SJ002,2.49
SJ002,2.5
SJ003,2.7
SJ003,3
SJ003,3.1
Sta001,2.2
Sta001,2.3
Sta001,2.2
Sta002,2.4
Sta002,2.4
Sta002,2.6
Sta003,3
Sta003,2.7
Sta003,2.8
Sta004,3.2
Sta004,3.4
Sta004,3.4
Sta005,3
Sta005,3.1
Sta005,3
C58,3.6
C58,3.7
C58,3.6
Sut002,2.4
Sut002,2.6
Sut002,2.5
Tul001,2.6
Tul001,2.5
Tul001,2.4
Tul002,3
Tul002,3
Tul002,3.1
Tul003,3.1
Tul003,3
Tul003,3.2
Tul004,2.5
Tul004,2.4
Tul004,2.4
Teh001,2.6
Teh001,2.7
Teh001,2.5
Teh002,2.7
Teh002,2.5
Teh002,2.7
Yol001,2.7
Yol001,2.8
Yol001,2.6
Yol002,3
Yol002,2.8
Yol002,2.8
Yub001,3.8
Yub001,3.7
Yub001,3.6
Yub002,3.3
Yub002,3.2
Yub002,3.3
