strains,weight
But001,0.677
But001,0.995
But001,0.495
But002,0
But002,0
But002,0
CC001,7.333
CC001,1.307
CC001,0.229
CL001,0.319
CL001,0.41
CL001,0.117
C58,0.653
C58,1.837
C58,0.246
Gle001,5.551
Gle001,0.781
Gle001,0.81
Gle002,2.694
Gle002,0.453
Gle002,0.384
Kin001,9.203
Kin001,0.412
Kin001,3.218
Kin002,0.248
Kin002,0.096
Kin002,0.045
Kin003,2.317
Kin003,0.348
Kin003,0.219
SJ001,9.494
SJ001,5.336
SJ001,0.176
SJ002,2.508
SJ002,1.8
SJ002,0.294
SJ003,0
SJ003,0
SJ003,0
Sta001,4.999
Sta001,1.325
Sta001,0.22
Sta002,4.459
Sta002,6.09
Sta002,0.761
Sta003,4.403
Sta003,4.477
Sta003,1.805
Sta004,6.743
Sta004,2.129
Sta004,0.401
Sta005,6.322
Sta005,3.783
Sta005,0.963
Sut001,13.841
Sut001,7.765
Sut001,0.142
Sut002,3.209
Sut002,3.858
Sut002,2.555
Teh001,13.261
Teh001,13.809
Teh001,8.573
Teh002,9.021
Teh002,22.772
Teh002,0.558
Tul001,5.58
Tul001,0.421
Tul001,0.076
Tul002,0
Tul002,0
Tul002,0
Tul003,13.644
Tul003,5.822
Tul003,1.426
Tul004,1.437
Tul004,2.772
Tul004,2.008
Yol001,7.481
Yol001,1.832
Yol001,4.456
Yol002,0.512
Yol002,0.954
Yol002,0.809
Yub001,0.949
Yub001,3.579
Yub001,0.826
Yub002,5.839
Yub002,2.433
Yub002,1.201
Mock,0
Mock,0
Mock,0
But001,13.233
But001,3.292
But001,5.094
But002,0
But002,0
But002,0
CC001,0.564
CC001,3.517
CC001,1.745
CL001,1.809
CL001,0.826
CL001,0.263
C58,2.495
C58,3.336
C58,0.207
Gle001,9.416
Gle001,1.48
Gle001,0.328
Gle002,2.352
Gle002,8.137
Gle002,9.469
Kin001,0.76
Kin001,0.48
Kin001,0.085
Kin002,0.815
Kin002,0.537
Kin002,0.318
Kin003,3.76
Kin003,7.194
Kin003,2.399
SJ001,16.166
SJ001,2.584
SJ001,5.478
SJ002,17.12
SJ002,13.751
SJ002,7.607
SJ003,0
SJ003,0
SJ003,0
Sta001,2.557
Sta001,9.008
Sta001,4.63
Sta002,76.533
Sta002,15.287
Sta002,0.915
Sta003,3.099
Sta003,4.375
Sta003,6.044
Sta004,4.711
Sta004,3.41
Sta004,1.226
Sta005,7.58
Sta005,5.226
Sta005,3.455
Sut001,19.754
Sut001,5.386
Sut001,10.477
Sut002,7.616
Sut002,3.074
Sut002,2.793
Teh001,32.607
Teh001,1.649
Teh001,0.558
Teh002,6.421
Teh002,0.881
Teh002,5.363
Tul001,2.243
Tul001,3.729
Tul001,1.036
Tul002,0
Tul002,0
Tul002,0
Tul003,17.108
Tul003,0.207
Tul003,1.822
Tul004,10.404
Tul004,2.552
Tul004,13.413
Yol001,12.248
Yol001,2.668
Yol001,3.607
Yol002,5.866
Yol002,5.056
Yol002,0.652
Yub001,5.758
Yub001,2.6
Yub001,3.637
Yub002,2.444
Yub002,1.993
Yub002,11.14
Mock,0
Mock,0
Mock,0
