"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","RAC06","MA01"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"RAC06_00984","MA01_01436"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"RAC06_00983","MA01_01437"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"RAC06_00982","MA01_01438"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"RAC06_00981","MA01_01439"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"RAC06_00980","MA01_01440"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"RAC06_00979","MA01_01441"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"RAC06_00978","MA01_01442"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"RAC06_00977","MA01_01443"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"RAC06_00976","MA01_01444"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"RAC06_00975","MA01_01445"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"RAC06_00974","MA01_01446"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"RAC06_00973","MA01_01447"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"RAC06_00972","MA01_01448"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"RAC06_00971","MA01_01449"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"RAC06_00970","MA01_01450"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"RAC06_00194","MA01_02191"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"RAC06_00195","MA01_02190"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"RAC06_00196","MA01_02189"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"RAC06_00197","MA01_02188"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"RAC06_00198","MA01_02187"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"RAC06_00199","MA01_02186"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"RAC06_00200","MA01_02185"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"RAC06_00201","MA01_02184"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"RAC06_00202","MA01_02183"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"RAC06_00203","MA01_02182"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"RAC06_00204","MA01_02181"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"RAC06_00996","MA01_01424"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"RAC06_00995","MA01_01425"
