"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","X1D132","X1D132b","C58","F4","NFIX02","Arqua","NFIX01","ARqua1","Kin001","N40_94","N33_94","str_12D13","X12D13","PDC82","Di1525a","ATCC31749","J_07","str_11546","str_2788"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"1D132_01662","1D132b_02260","C58_01915","F4_02003","NFIX02_04495","Arqua_04537","NFIX01_00489","ARqua1_00343","Kin001_01639","N40_94_00504","N33_94_00504","str_12D13_01567","12D13_01948","PDC82_00657","Di1525a_02513","ATCC31749_02719","J_07_00581","str_11546_01786","str_2788_00553"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"1D132_01661","1D132b_02259","C58_01914","F4_02002","NFIX02_04496","Arqua_04536","NFIX01_00488","ARqua1_00342","Kin001_01638","N40_94_00503","N33_94_00503","str_12D13_01566","12D13_01947","PDC82_00658","Di1525a_02512","ATCC31749_02718","J_07_00582","str_11546_01785","str_2788_00552"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"1D132_01660","1D132b_02258","C58_01913","F4_02001","NFIX02_04497","Arqua_04535","NFIX01_00487","ARqua1_00341","Kin001_01637","N40_94_00502","N33_94_00502","str_12D13_01565","12D13_01946","PDC82_00659","Di1525a_02511","ATCC31749_02717","J_07_00583","str_11546_01784","str_2788_00551"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"1D132_01659","1D132b_02257","C58_01912","F4_02000","NFIX02_04498","Arqua_04534","NFIX01_00486","ARqua1_00340","Kin001_01636","N40_94_00501","N33_94_00501","str_12D13_01564","12D13_01945","PDC82_00660","Di1525a_02510","ATCC31749_02716","J_07_00584","str_11546_01783","str_2788_00550"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"1D132_01658","1D132b_02256","C58_01911","F4_01999","NFIX02_04499","Arqua_04533","NFIX01_00485","ARqua1_00339","Kin001_01635","N40_94_00500","N33_94_00500","str_12D13_01563","12D13_01944","PDC82_00661","Di1525a_02509","ATCC31749_02715","J_07_00585","str_11546_01782","str_2788_00549"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"1D132_01657","1D132b_02255","C58_01910","F4_01998","NFIX02_04500","Arqua_04532","NFIX01_00484","ARqua1_00338","Kin001_01634","N40_94_00499","N33_94_00499","str_12D13_01562","12D13_01943","PDC82_00662","Di1525a_02508","ATCC31749_02714","J_07_00586","str_11546_01781","str_2788_00548"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"1D132_01656","1D132b_02254","C58_01909","F4_01997","NFIX02_04501","Arqua_04531","NFIX01_00483","ARqua1_00337","Kin001_01633","N40_94_00498","N33_94_00498","str_12D13_01561","12D13_01942","PDC82_00663","Di1525a_02507","ATCC31749_02713","J_07_00587","str_11546_01780","str_2788_00547"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"1D132_01655","1D132b_02253","C58_01908","F4_01996","NFIX02_04502","Arqua_04530","NFIX01_00482","ARqua1_00336","Kin001_01632","N40_94_00497","N33_94_00497","str_12D13_01560","12D13_01941","PDC82_00664","Di1525a_02506","ATCC31749_02712","J_07_00588","str_11546_01779","str_2788_00546"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"1D132_01654","1D132b_02252","C58_01907","F4_01995","NFIX02_04503","Arqua_04529","NFIX01_00481","ARqua1_00335","Kin001_01631","N40_94_00496","N33_94_00496","str_12D13_01559","12D13_01940","PDC82_00665","Di1525a_02505","ATCC31749_02711","J_07_00589","str_11546_01778","str_2788_00545"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"1D132_01653","1D132b_02251","C58_01906","F4_01994","NFIX02_04504","Arqua_04528","NFIX01_00480","ARqua1_00334","Kin001_01630","N40_94_00495","N33_94_00495","str_12D13_01558","12D13_01939","PDC82_00666","Di1525a_02504","ATCC31749_02710","J_07_00590","str_11546_01777","str_2788_00544"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"1D132_01652","1D132b_02250","C58_01905","F4_01993","NFIX02_04505","Arqua_04527","NFIX01_00479","ARqua1_00333","Kin001_01629","N40_94_00494","N33_94_00494","str_12D13_01557","12D13_01938","PDC82_00667","Di1525a_02503","ATCC31749_02709","J_07_00591","str_11546_01776","str_2788_00543"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"1D132_01651","1D132b_02249","C58_01904","F4_01992","NFIX02_04506","Arqua_04526","NFIX01_00478","ARqua1_00332","Kin001_01628","N40_94_00493","N33_94_00493","str_12D13_01556","12D13_01937","PDC82_00668","Di1525a_02502","ATCC31749_02708","J_07_00592","str_11546_01775","str_2788_00542"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"1D132_01650","1D132b_02248","C58_01903","F4_01991","NFIX02_04507","Arqua_04525","NFIX01_00477","ARqua1_00331","Kin001_01627","N40_94_00492","N33_94_00492","str_12D13_01555","12D13_01936","PDC82_00669","Di1525a_02501","ATCC31749_02707","J_07_00593","str_11546_01774","str_2788_00541"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"1D132_01649","1D132b_02247","C58_01902","F4_01990","NFIX02_04508","Arqua_04524","NFIX01_00476","ARqua1_00330","Kin001_01626","N40_94_00491","N33_94_00491","str_12D13_01554","12D13_01935","PDC82_00670","Di1525a_02500","ATCC31749_02706","J_07_00594","str_11546_01773","str_2788_00540"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"1D132_01648","1D132b_02246","C58_01901","F4_01989","NFIX02_04509","Arqua_04523","NFIX01_00475","ARqua1_00329","Kin001_01625","N40_94_00490","N33_94_00490","str_12D13_01553","12D13_01934","PDC82_00671","Di1525a_02499","ATCC31749_02705","J_07_00595","str_11546_01772","str_2788_00539"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"1D132_01824","1D132b_02873","C58_02072","F4_02163","NFIX02_02293","Arqua_04695","NFIX01_02388","ARqua1_00500","Kin001_01796","N40_94_00676","N33_94_00676","str_12D13_01725","12D13_02106","PDC82_00446","Di1525a_02673","ATCC31749_02896","J_07_00424","str_11546_01949","str_2788_00710"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"1D132_01823","1D132b_02872","C58_02071","F4_02162","NFIX02_02294","Arqua_04694","NFIX01_02389","ARqua1_00499","Kin001_01795","N40_94_00675","N33_94_00675","str_12D13_01724","12D13_02105","PDC82_00447","Di1525a_02672","ATCC31749_02895","J_07_00425","str_11546_01948","str_2788_00709"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"1D132_01822","1D132b_02871","C58_02070","F4_02161","NFIX02_02295","Arqua_04693","NFIX01_02390","ARqua1_00498","Kin001_01794","N40_94_00674","N33_94_00674","str_12D13_01723","12D13_02104","PDC82_00448","Di1525a_02671","ATCC31749_02894","J_07_00426","str_11546_01947","str_2788_00708"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"1D132_01821","1D132b_02870","C58_02069","F4_02160","NFIX02_02296","Arqua_04692","NFIX01_02391","ARqua1_00497","Kin001_01793","N40_94_00673","N33_94_00673","str_12D13_01722","12D13_02103","PDC82_00449","Di1525a_02670","ATCC31749_02893","J_07_00427","str_11546_01946","str_2788_00707"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"1D132_01820","1D132b_02869","C58_02068","F4_02159","NFIX02_02297","Arqua_04691","NFIX01_02392","ARqua1_00496","Kin001_01792","N40_94_00672","N33_94_00672","str_12D13_01721","12D13_02102","PDC82_00450","Di1525a_02669","ATCC31749_02892","J_07_00428","str_11546_01945","str_2788_00706"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"1D132_01819","1D132b_02868","C58_02067","F4_02158","NFIX02_02298","Arqua_04690","NFIX01_02393","ARqua1_00495","Kin001_01791","N40_94_00671","N33_94_00671","str_12D13_01720","12D13_02101","PDC82_00451","Di1525a_02668","ATCC31749_02891","J_07_00429","str_11546_01944","str_2788_00705"
