"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","DSM25558","DSM25559","B203","SBV_31","SBV_32","SBV33","NCPPB1650"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"DSM25558_00241","DSM25559_00036","B203_00584","SBV_31_01400","SBV_32_01422","SBV33_01377","NCPPB1650_03836"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"DSM25558_00240","DSM25559_00037","B203_00585","SBV_31_01401","SBV_32_01423","SBV33_01378","NCPPB1650_03837"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"DSM25558_00239","DSM25559_00038","B203_00586","SBV_31_01402","SBV_32_01424","SBV33_01379","NCPPB1650_03838"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"DSM25558_00238","DSM25559_00039","B203_00587","SBV_31_01403","SBV_32_01425","SBV33_01380","NCPPB1650_03839"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"DSM25558_00237","DSM25559_00040","B203_00588","SBV_31_01404","SBV_32_01426","SBV33_01381","NCPPB1650_03840"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"DSM25558_00236","DSM25559_00041","B203_00589","SBV_31_01405","SBV_32_01427","SBV33_01382","NCPPB1650_03841"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"DSM25558_00235","DSM25559_00042","B203_00590","SBV_31_01406","SBV_32_01428","SBV33_01383","NCPPB1650_03842"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"DSM25558_00234","DSM25559_00043","B203_00591","SBV_31_01407","SBV_32_01429","SBV33_01384","NCPPB1650_03843"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"DSM25558_00233","DSM25559_00044","B203_00592","SBV_31_01408","SBV_32_01430","SBV33_01385","NCPPB1650_03844"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"DSM25558_00232","DSM25559_00045","B203_00593","SBV_31_01409","SBV_32_01431","SBV33_01386","NCPPB1650_03845"
