"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","TR3","Eu2_1NK","Eu3_2RS","A19_93","AS1A61","Eu3_2NK"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"TR3_02484","Eu2_1NK_00550","Eu3_2RS_01164","A19_93_01071","AS1A61_00949","Eu3_2NK_00758"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"TR3_02483","Eu2_1NK_00551","Eu3_2RS_01165","A19_93_01072","AS1A61_00948","Eu3_2NK_00759"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"TR3_02482","Eu2_1NK_00552","Eu3_2RS_01166","A19_93_01073","AS1A61_00947","Eu3_2NK_00760"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"TR3_02481","Eu2_1NK_00553","Eu3_2RS_01167","A19_93_01074","AS1A61_00946","Eu3_2NK_00761"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"TR3_02480","Eu2_1NK_00554","Eu3_2RS_01168","A19_93_01075","AS1A61_00945","Eu3_2NK_00762"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"TR3_02479","Eu2_1NK_00555","Eu3_2RS_01169","A19_93_01076","AS1A61_00944","Eu3_2NK_00763"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"TR3_02478","Eu2_1NK_00556","Eu3_2RS_01170","A19_93_01077","AS1A61_00943","Eu3_2NK_00764"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"TR3_02477","Eu2_1NK_00557","Eu3_2RS_01171","A19_93_01078","AS1A61_00942","Eu3_2NK_00765"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"TR3_02476","Eu2_1NK_00558","Eu3_2RS_01172","A19_93_01079","AS1A61_00941","Eu3_2NK_00766"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"TR3_02475","Eu2_1NK_00559","Eu3_2RS_01173","A19_93_01080","AS1A61_00940","Eu3_2NK_00767"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"TR3_02474","Eu2_1NK_00560","Eu3_2RS_01174","A19_93_01081","AS1A61_00939","Eu3_2NK_00768"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"TR3_02473","Eu2_1NK_00561","Eu3_2RS_01175","A19_93_01082","AS1A61_00938","Eu3_2NK_00769"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"TR3_02472","Eu2_1NK_00562","Eu3_2RS_01176","A19_93_01083","AS1A61_00937","Eu3_2NK_00770"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"TR3_02471","Eu2_1NK_00563","Eu3_2RS_01177","A19_93_01084","AS1A61_00936","Eu3_2NK_00771"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"TR3_02470","Eu2_1NK_00564","Eu3_2RS_01178","A19_93_01085","AS1A61_00935","Eu3_2NK_00772"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"TR3_04279","Eu2_1NK_03914","Eu3_2RS_00476","A19_93_00476","AS1A61_00405","Eu3_2NK_02370"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"TR3_04280","Eu2_1NK_03913","Eu3_2RS_00475","A19_93_00475","AS1A61_00406","Eu3_2NK_02369"
"g000328_1_000007","g000328_1","ftsI","putative peptidoglycan D%2CD-transpeptidase FtsI",70,22,311,1,1,2,0,1,0,1,312,"putative peptidoglycan D%2CD-transpeptidase FtsI(311):hypothetical protein(1)","ftsI(311):NA(1)",144,1755,1737.09,2,3,"TR3_04281","Eu2_1NK_03912","Eu3_2RS_00474","A19_93_00474","AS1A61_00407","Eu3_2NK_02368"
"g001168_000002","g001168","murE","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase",70,40,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase(311)","murE(311)",1302,1470,1463.41,2,4,"TR3_04282","Eu2_1NK_03911","Eu3_2RS_00473","A19_93_00473","AS1A61_00408","Eu3_2NK_02367"
"g002659_000001","g002659","murF","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",60,27,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase(311)","murF(311)",1407,1461,1427.05,2,5,"TR3_04283","Eu2_1NK_03910","Eu3_2RS_00472","A19_93_00472","AS1A61_00409","Eu3_2NK_02366"
"g005745_000003","g005745","mraY","Phospho-N-acetylmuramoyl-pentapeptide-transferase",80,13,311,1,1,1,0,0,0,0,311,"Phospho-N-acetylmuramoyl-pentapeptide-transferase(311)","mraY(311)",1101,1122,1107.58,2,6,"TR3_04284","Eu2_1NK_03909","Eu3_2RS_00471","A19_93_00471","AS1A61_00410","Eu3_2NK_02365"
"g000775_000002","g000775","murD","UDP-N-acetylmuramoylalanine--D-glutamate ligase",70,47,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramoylalanine--D-glutamate ligase(311)","murD(311)",1407,1596,1418.61,2,7,"TR3_04285","Eu2_1NK_03908","Eu3_2RS_00470","A19_93_00470","AS1A61_00411","Eu3_2NK_02364"
"g005025_1_000003","g005025_1","ftsW","putative peptidoglycan glycosyltransferase FtsW",70,14,311,1,1,1,0,0,0,0,311,"putative peptidoglycan glycosyltransferase FtsW(311)","ftsW(311)",465,1158,1152.79,2,8,"TR3_04286","Eu2_1NK_03907","Eu3_2RS_00469","A19_93_00469","AS1A61_00412","Eu3_2NK_02363"
"g001766_000002","g001766","murG","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase",70,32,311,1,1,1,1,0,1,0,311,"UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase(312)","murG(312)",312,1140,1127.62,2,9,"TR3_04287","Eu2_1NK_03906","Eu3_2RS_00468","A19_93_00468","AS1A61_00413","Eu3_2NK_02362"
"g004519_000003","g004519","murC","UDP-N-acetylmuramate--L-alanine ligase",80,15,311,1,1,1,0,0,0,0,311,"UDP-N-acetylmuramate--L-alanine ligase(311)","murC(311)",1389,1446,1416.02,2,10,"TR3_04288","Eu2_1NK_03905","Eu3_2RS_00467","A19_93_00467","AS1A61_00414","Eu3_2NK_02361"
"g003732_000003","g003732","murB","UDP-N-acetylenolpyruvoylglucosamine reductase",80,19,311,1,1,1,0,0,0,0,311,"UDP-N-acetylenolpyruvoylglucosamine reductase(311)","murB(311)",966,975,969.94,2,11,"TR3_04289","Eu2_1NK_03904","Eu3_2RS_00466","A19_93_00466","AS1A61_00415","Eu3_2NK_02360"
"g003127_000002","g003127",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,354,297.47,3,1,"TR3_00085","Eu2_1NK_01514","Eu3_2RS_01152","A19_93_01059","AS1A61_00961","Eu3_2NK_00746"
"g000002_000006","g000002","rpsL","30S ribosomal protein S12",98,1,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S12(311)","rpsL(311)",372,372,372,3,2,"TR3_00084","Eu2_1NK_01513","Eu3_2RS_01153","A19_93_01060","AS1A61_00960","Eu3_2NK_00747"
"g009525_000004","g009525","rpsG","30S ribosomal protein S7",90,7,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S7(311)","rpsG(311)",393,471,470.75,3,3,"TR3_00083","Eu2_1NK_01512","Eu3_2RS_01154","A19_93_01061","AS1A61_00959","Eu3_2NK_00748"
