"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","F2_5","CG56","T268_95","BM37_95","AV25_95","CG78","CG78b","CG678","CG1103","SF93","V80_94","AS1H41","CG98","NW221","RF21","T17","S4","Sz1b","CG81","CG474","CG967","CG1118"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"F2_5_02554","CG56_01960","T268_95_04827","BM37_95_00294","AV25_95_03156","CG78_02452","CG78b_02215","CG678_02213","CG1103_00127","SF93_03207","V80_94_03050","AS1H41_03050","CG98_04241","NW221_05158","RF21_01020","T17_01129","S4_01450","Sz1b_02311","CG81_04703","CG474_01937","CG967_05302","CG1118_05179"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"F2_5_02555","CG56_01959","T268_95_04828","BM37_95_00295","AV25_95_03157","CG78_02453","CG78b_02216","CG678_02214","CG1103_00126","SF93_03206","V80_94_03051","AS1H41_03051","CG98_04240","NW221_05157","RF21_01019","T17_01130","S4_01451","Sz1b_02312","CG81_04702","CG474_01938","CG967_05301","CG1118_05178"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"F2_5_02556","CG56_01958","T268_95_04829","BM37_95_00296","AV25_95_03158","CG78_02454","CG78b_02217","CG678_02215","CG1103_00125","SF93_03205","V80_94_03052","AS1H41_03052","CG98_04239","NW221_05156","RF21_01018","T17_01131","S4_01452","Sz1b_02313","CG81_04701","CG474_01939","CG967_05300","CG1118_05177"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"F2_5_02557","CG56_01957","T268_95_04830","BM37_95_00297","AV25_95_03159","CG78_02455","CG78b_02218","CG678_02216","CG1103_00124","SF93_03204","V80_94_03053","AS1H41_03053","CG98_04238","NW221_05155","RF21_01017","T17_01132","S4_01453","Sz1b_02314","CG81_04700","CG474_01940","CG967_05299","CG1118_05176"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"F2_5_02558","CG56_01956","T268_95_04831","BM37_95_00298","AV25_95_03160","CG78_02456","CG78b_02219","CG678_02217","CG1103_00123","SF93_03203","V80_94_03054","AS1H41_03054","CG98_04237","NW221_05154","RF21_01016","T17_01133","S4_01454","Sz1b_02315","CG81_04699","CG474_01941","CG967_05298","CG1118_05175"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"F2_5_02559","CG56_01955","T268_95_04832","BM37_95_00299","AV25_95_03161","CG78_02457","CG78b_02220","CG678_02218","CG1103_00122","SF93_03202","V80_94_03055","AS1H41_03055","CG98_04236","NW221_05153","RF21_01015","T17_01134","S4_01455","Sz1b_02316","CG81_04698","CG474_01942","CG967_05297","CG1118_05174"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"F2_5_02560","CG56_01954","T268_95_04833","BM37_95_00300","AV25_95_03162","CG78_02458","CG78b_02221","CG678_02219","CG1103_00121","SF93_03201","V80_94_03056","AS1H41_03056","CG98_04235","NW221_05152","RF21_01014","T17_01135","S4_01456","Sz1b_02317","CG81_04697","CG474_01943","CG967_05296","CG1118_05173"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"F2_5_02561","CG56_01953","T268_95_04834","BM37_95_00301","AV25_95_03163","CG78_02459","CG78b_02222","CG678_02220","CG1103_00120","SF93_03200","V80_94_03057","AS1H41_03057","CG98_04234","NW221_05151","RF21_01013","T17_01136","S4_01457","Sz1b_02318","CG81_04696","CG474_01944","CG967_05295","CG1118_05172"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"F2_5_02562","CG56_01952","T268_95_04835","BM37_95_00302","AV25_95_03164","CG78_02460","CG78b_02223","CG678_02221","CG1103_00119","SF93_03199","V80_94_03058","AS1H41_03058","CG98_04233","NW221_05150","RF21_01012","T17_01137","S4_01458","Sz1b_02319","CG81_04695","CG474_01945","CG967_05294","CG1118_05171"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"F2_5_02563","CG56_01951","T268_95_04836","BM37_95_00303","AV25_95_03165","CG78_02461","CG78b_02224","CG678_02222","CG1103_00118","SF93_03198","V80_94_03059","AS1H41_03059","CG98_04232","NW221_05149","RF21_01011","T17_01138","S4_01459","Sz1b_02320","CG81_04694","CG474_01946","CG967_05293","CG1118_05170"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"F2_5_02564","CG56_01950","T268_95_04837","BM37_95_00304","AV25_95_03166","CG78_02462","CG78b_02225","CG678_02223","CG1103_00117","SF93_03197","V80_94_03060","AS1H41_03060","CG98_04231","NW221_05148","RF21_01010","T17_01139","S4_01460","Sz1b_02321","CG81_04693","CG474_01947","CG967_05292","CG1118_05169"
