"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","AGR1_1","CFBP5506","Hayward0363","CFBP5507","YIC5082","NCPPB2657","GBBC3283"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"AGR1_1_00825","CFBP5506_04065","Hayward0363_00616","CFBP5507_02646","YIC5082_00393","NCPPB2657_01651","GBBC3283_00107"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"AGR1_1_00826","CFBP5506_04066","Hayward0363_00617","CFBP5507_02645","YIC5082_00392","NCPPB2657_01650","GBBC3283_00106"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"AGR1_1_00827","CFBP5506_04067","Hayward0363_00618","CFBP5507_02644","YIC5082_00391","NCPPB2657_01649","GBBC3283_00105"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"AGR1_1_00828","CFBP5506_04068","Hayward0363_00619","CFBP5507_02643","YIC5082_00390","NCPPB2657_01648","GBBC3283_00104"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"AGR1_1_00829","CFBP5506_04069","Hayward0363_00620","CFBP5507_02642","YIC5082_00389","NCPPB2657_01647","GBBC3283_00103"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"AGR1_1_00830","CFBP5506_04070","Hayward0363_00621","CFBP5507_02641","YIC5082_00388","NCPPB2657_01646","GBBC3283_00102"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"AGR1_1_00831","CFBP5506_04071","Hayward0363_00622","CFBP5507_02640","YIC5082_00387","NCPPB2657_01645","GBBC3283_00101"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"AGR1_1_00832","CFBP5506_04072","Hayward0363_00623","CFBP5507_02639","YIC5082_00386","NCPPB2657_01644","GBBC3283_00100"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"AGR1_1_00833","CFBP5506_04073","Hayward0363_00624","CFBP5507_02638","YIC5082_00385","NCPPB2657_01643","GBBC3283_00099"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"AGR1_1_00834","CFBP5506_04074","Hayward0363_00625","CFBP5507_02637","YIC5082_00384","NCPPB2657_01642","GBBC3283_00098"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"AGR1_1_00835","CFBP5506_04075","Hayward0363_00626","CFBP5507_02636","YIC5082_00383","NCPPB2657_01641","GBBC3283_00097"
