"strainN","totalGeneN","coreGeneN","accessoryGeneN","CorAccRatio"
"CG475","4912","3723","1189","3.13"
"CG988","5194","3723","1471","2.53"
"AB3","5245","3723","1522","2.45"
"AT6","5243","3723","1520","2.45"
"CG415","5042","3723","1319","2.82"
"CG102","4880","3723","1157","3.22"
"CG412","4537","3723","814","4.57"
"ICMP10754","4971","3723","1248","2.98"
"SBV_10752","4878","3723","1155","3.22"
"CG1000","4983","3723","1260","2.95"
"K306","4878","3723","1155","3.22"
"NCPPB3554","4874","3723","1151","3.23"
"CG516","5050","3723","1327","2.81"
