"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CG475","CG988","AB3","AT6","CG415","CG102","CG412","ICMP10754","SBV_10752","CG1000","K306","NCPPB3554","CG516"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"CG475_02379","CG988_05368","AB3_02227","AT6_01986","CG415_01528","CG102_04857","CG412_02434","ICMP10754_01996","SBV_10752_03999","CG1000_00380","K306_01732","NCPPB3554_02980","CG516_02884"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"CG475_02380","CG988_05367","AB3_02226","AT6_01987","CG415_01529","CG102_04856","CG412_02435","ICMP10754_01997","SBV_10752_04000","CG1000_00381","K306_01731","NCPPB3554_02981","CG516_02883"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"CG475_02381","CG988_05366","AB3_02225","AT6_01988","CG415_01530","CG102_04855","CG412_02436","ICMP10754_01998","SBV_10752_04001","CG1000_00382","K306_01730","NCPPB3554_02982","CG516_02882"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"CG475_02382","CG988_05365","AB3_02224","AT6_01989","CG415_01531","CG102_04854","CG412_02437","ICMP10754_01999","SBV_10752_04002","CG1000_00383","K306_01729","NCPPB3554_02983","CG516_02881"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"CG475_02383","CG988_05364","AB3_02223","AT6_01990","CG415_01532","CG102_04853","CG412_02438","ICMP10754_02000","SBV_10752_04003","CG1000_00384","K306_01728","NCPPB3554_02984","CG516_02880"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"CG475_02384","CG988_05363","AB3_02222","AT6_01991","CG415_01533","CG102_04852","CG412_02439","ICMP10754_02001","SBV_10752_04004","CG1000_00385","K306_01727","NCPPB3554_02985","CG516_02879"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"CG475_02385","CG988_05362","AB3_02221","AT6_01992","CG415_01534","CG102_04851","CG412_02440","ICMP10754_02002","SBV_10752_04005","CG1000_00386","K306_01726","NCPPB3554_02986","CG516_02878"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"CG475_02386","CG988_05361","AB3_02220","AT6_01993","CG415_01535","CG102_04850","CG412_02441","ICMP10754_02003","SBV_10752_04006","CG1000_00387","K306_01725","NCPPB3554_02987","CG516_02877"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"CG475_02387","CG988_05360","AB3_02219","AT6_01994","CG415_01536","CG102_04849","CG412_02442","ICMP10754_02004","SBV_10752_04007","CG1000_00388","K306_01724","NCPPB3554_02988","CG516_02876"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"CG475_02388","CG988_05359","AB3_02218","AT6_01995","CG415_01537","CG102_04848","CG412_02443","ICMP10754_02005","SBV_10752_04008","CG1000_00389","K306_01723","NCPPB3554_02989","CG516_02875"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"CG475_02389","CG988_05358","AB3_02217","AT6_01996","CG415_01538","CG102_04847","CG412_02444","ICMP10754_02006","SBV_10752_04009","CG1000_00390","K306_01722","NCPPB3554_02990","CG516_02874"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"CG475_02390","CG988_05357","AB3_02216","AT6_01997","CG415_01539","CG102_04846","CG412_02445","ICMP10754_02007","SBV_10752_04010","CG1000_00391","K306_01721","NCPPB3554_02991","CG516_02873"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"CG475_02391","CG988_05356","AB3_02215","AT6_01998","CG415_01540","CG102_04845","CG412_02446","ICMP10754_02008","SBV_10752_04011","CG1000_00392","K306_01720","NCPPB3554_02992","CG516_02872"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"CG475_02392","CG988_05355","AB3_02214","AT6_01999","CG415_01541","CG102_04844","CG412_02447","ICMP10754_02009","SBV_10752_04012","CG1000_00393","K306_01719","NCPPB3554_02993","CG516_02871"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"CG475_02393","CG988_05354","AB3_02213","AT6_02000","CG415_01542","CG102_04843","CG412_02448","ICMP10754_02010","SBV_10752_04013","CG1000_00394","K306_01718","NCPPB3554_02994","CG516_02870"
"g002258_000003","g002258","rsmH","Ribosomal RNA small subunit methyltransferase H",80,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase H(311)","rsmH(311)",684,1026,1024.9,2,1,"CG475_03805","CG988_02525","AB3_00883","AT6_00689","CG415_01620","CG102_02201","CG412_04478","ICMP10754_04977","SBV_10752_04837","CG1000_01848","K306_01030","NCPPB3554_01304","CG516_04948"
"g002894","g002894",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",384,567,532.21,2,2,"CG475_03804","CG988_02526","AB3_00882","AT6_00688","CG415_01621","CG102_02202","CG412_04477","ICMP10754_04978","SBV_10752_04838","CG1000_01847","K306_01031","NCPPB3554_01305","CG516_04947"
