"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","UMA610","ICMP6402","SBV_302782"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"UMA610_02342","ICMP6402_01603","SBV_302782_00009"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"UMA610_02343","ICMP6402_01602","SBV_302782_00010"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"UMA610_02344","ICMP6402_01601","SBV_302782_00011"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"UMA610_02345","ICMP6402_01600","SBV_302782_00012"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"UMA610_02346","ICMP6402_01599","SBV_302782_00013"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"UMA610_02347","ICMP6402_01598","SBV_302782_00014"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"UMA610_02348","ICMP6402_01597","SBV_302782_00015"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"UMA610_02349","ICMP6402_01596","SBV_302782_00016"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"UMA610_02350","ICMP6402_01595","SBV_302782_00017"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"UMA610_02351","ICMP6402_01594","SBV_302782_00018"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"UMA610_02352","ICMP6402_01593","SBV_302782_00019"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"UMA610_02353","ICMP6402_01592","SBV_302782_00020"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"UMA610_02354","ICMP6402_01591","SBV_302782_00021"
