"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","DE0067","DE0068","ICMP17598","TPD7009","TPD7005","RZME10"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"DE0067_02291","DE0068_01389","ICMP17598_02209","TPD7009_00454","TPD7005_03095","RZME10_01785"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"DE0067_02290","DE0068_01390","ICMP17598_02208","TPD7009_00453","TPD7005_03094","RZME10_01786"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"DE0067_02289","DE0068_01391","ICMP17598_02207","TPD7009_00452","TPD7005_03093","RZME10_01787"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"DE0067_02288","DE0068_01392","ICMP17598_02206","TPD7009_00451","TPD7005_03092","RZME10_01788"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"DE0067_02287","DE0068_01393","ICMP17598_02205","TPD7009_00450","TPD7005_03091","RZME10_01789"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"DE0067_02286","DE0068_01394","ICMP17598_02204","TPD7009_00449","TPD7005_03090","RZME10_01790"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"DE0067_02285","DE0068_01395","ICMP17598_02203","TPD7009_00448","TPD7005_03089","RZME10_01791"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"DE0067_02284","DE0068_01396","ICMP17598_02202","TPD7009_00447","TPD7005_03088","RZME10_01792"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"DE0067_02283","DE0068_01397","ICMP17598_02201","TPD7009_00446","TPD7005_03087","RZME10_01793"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"DE0067_02282","DE0068_01398","ICMP17598_02200","TPD7009_00445","TPD7005_03086","RZME10_01794"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"DE0067_02281","DE0068_01399","ICMP17598_02199","TPD7009_00444","TPD7005_03085","RZME10_01795"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"DE0067_02280","DE0068_01400","ICMP17598_02198","TPD7009_00443","TPD7005_03084","RZME10_01796"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"DE0067_02279","DE0068_01401","ICMP17598_02197","TPD7009_00442","TPD7005_03083","RZME10_01797"
"g004378_000003","g004378","rplO","50S ribosomal protein L15",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L15(311)","rplO(311)",471,486,477.75,1,14,"DE0067_02278","DE0068_01402","ICMP17598_02196","TPD7009_00441","TPD7005_03082","RZME10_01798"
"g004743_000004","g004743","secY","Protein translocase subunit SecY",90,15,311,1,1,1,0,0,0,0,311,"Protein translocase subunit SecY(311)","secY(311)",1341,1461,1342.51,1,15,"DE0067_02277","DE0068_01403","ICMP17598_02195","TPD7009_00440","TPD7005_03081","RZME10_01799"
