"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","S33a","CC001","FDAARGOS_525","CFBP5494"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"S33a_03052","CC001_01526","FDAARGOS_525_02934","CFBP5494_02407"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"S33a_03051","CC001_01525","FDAARGOS_525_02933","CFBP5494_02406"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"S33a_03050","CC001_01524","FDAARGOS_525_02932","CFBP5494_02405"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"S33a_03049","CC001_01523","FDAARGOS_525_02931","CFBP5494_02404"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"S33a_03048","CC001_01522","FDAARGOS_525_02930","CFBP5494_02403"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"S33a_03047","CC001_01521","FDAARGOS_525_02929","CFBP5494_02402"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"S33a_03046","CC001_01520","FDAARGOS_525_02928","CFBP5494_02401"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"S33a_03045","CC001_01519","FDAARGOS_525_02927","CFBP5494_02400"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"S33a_03044","CC001_01518","FDAARGOS_525_02926","CFBP5494_02399"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"S33a_03043","CC001_01517","FDAARGOS_525_02925","CFBP5494_02398"
