"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CG108","CG118","CG989","CG1013","T393_94","Rr4","CG47","Ni1","T60_94","T267_94","P86_93","AB4","CG964","CG49"
"g008573_000004","g008573","rpsC","30S ribosomal protein S3",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S3(311)","rpsC(311)",714,735,727.61,1,1,"CG108_05167","CG118_00894","CG989_01180","CG1013_03260","T393_94_03806","Rr4_01809","CG47_04261","Ni1_00641","T60_94_04579","T267_94_04483","P86_93_04482","AB4_04980","CG964_00956","CG49_05392"
"g014701_000005","g014701","rplP","50S ribosomal protein L16",95,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L16(311)","rplP(311)",306,414,413.65,1,2,"CG108_05166","CG118_00893","CG989_01181","CG1013_03261","T393_94_03807","Rr4_01808","CG47_04260","Ni1_00640","T60_94_04580","T267_94_04484","P86_93_04483","AB4_04981","CG964_00957","CG49_05393"
"g008515_1_000005","g008515_1","rpmC","50S ribosomal protein L29",80,7,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L29(311)","rpmC(311)",201,201,201,1,3,"CG108_05165","CG118_00892","CG989_01182","CG1013_03262","T393_94_03808","Rr4_01807","CG47_04259","Ni1_00639","T60_94_04581","T267_94_04485","P86_93_04484","AB4_04982","CG964_00958","CG49_05394"
"g005513_000004","g005513","rpsQ","30S ribosomal protein S17",90,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S17(311)","rpsQ(311)",237,240,237.79,1,4,"CG108_05164","CG118_00891","CG989_01183","CG1013_03263","T393_94_03809","Rr4_01806","CG47_04258","Ni1_00638","T60_94_04582","T267_94_04486","P86_93_04485","AB4_04983","CG964_00959","CG49_05395"
"g026158_000005","g026158","rplN","50S ribosomal protein L14",95,2,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L14(311)","rplN(311)",369,369,369,1,5,"CG108_05163","CG118_00890","CG989_01184","CG1013_03264","T393_94_03810","Rr4_01805","CG47_04257","Ni1_00637","T60_94_04583","T267_94_04487","P86_93_04486","AB4_04984","CG964_00960","CG49_05396"
"g005863_000003","g005863","rplX","50S ribosomal protein L24",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L24(311)","rplX(311)",309,309,309,1,6,"CG108_05162","CG118_00889","CG989_01185","CG1013_03265","T393_94_03811","Rr4_01804","CG47_04256","Ni1_00636","T60_94_04584","T267_94_04488","P86_93_04487","AB4_04985","CG964_00961","CG49_05397"
"g004618_000004","g004618","rplE","50S ribosomal protein L5",90,17,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L5(311)","rplE(311)",555,558,556.57,1,7,"CG108_05161","CG118_00888","CG989_01186","CG1013_03266","T393_94_03812","Rr4_01803","CG47_04255","Ni1_00635","T60_94_04585","T267_94_04489","P86_93_04488","AB4_04986","CG964_00962","CG49_05398"
"g008583_000003","g008583","rpsN","30S ribosomal protein S14",80,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S14(311)","rpsN(311)",213,306,305.7,1,8,"CG108_05160","CG118_00887","CG989_01187","CG1013_03267","T393_94_03813","Rr4_01802","CG47_04254","Ni1_00634","T60_94_04586","T267_94_04490","P86_93_04489","AB4_04987","CG964_00963","CG49_05399"
"g007782_000004","g007782","rpsH","30S ribosomal protein S8",90,9,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S8(311)","rpsH(311)",399,399,399,1,9,"CG108_05159","CG118_00886","CG989_01188","CG1013_03268","T393_94_03814","Rr4_01801","CG47_04253","Ni1_00633","T60_94_04587","T267_94_04491","P86_93_04490","AB4_04988","CG964_00964","CG49_05400"
"g005444_000003","g005444","rplF","50S ribosomal protein L6",80,14,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L6(311)","rplF(311)",534,534,534,1,10,"CG108_05158","CG118_00885","CG989_01189","CG1013_03269","T393_94_03815","Rr4_01800","CG47_04252","Ni1_00632","T60_94_04588","T267_94_04492","P86_93_04491","AB4_04989","CG964_00965","CG49_05401"
"g004421_000003","g004421","rplR","50S ribosomal protein L18",80,18,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L18(311)","rplR(311)",363,363,363,1,11,"CG108_05157","CG118_00884","CG989_01190","CG1013_03270","T393_94_03816","Rr4_01799","CG47_04251","Ni1_00631","T60_94_04589","T267_94_04493","P86_93_04492","AB4_04990","CG964_00966","CG49_05402"
"g006934_000005","g006934","rpsE","30S ribosomal protein S5",95,10,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S5(311)","rpsE(311)",570,570,570,1,12,"CG108_05156","CG118_00883","CG989_01191","CG1013_03271","T393_94_03817","Rr4_01798","CG47_04250","Ni1_00630","T60_94_04590","T267_94_04494","P86_93_04493","AB4_04991","CG964_00967","CG49_05403"
"g007728_000003","g007728","rpmD","50S ribosomal protein L30",80,9,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L30(311)","rpmD(311)",204,213,208.13,1,13,"CG108_05155","CG118_00882","CG989_01192","CG1013_03272","T393_94_03818","Rr4_01797","CG47_04249","Ni1_00629","T60_94_04591","T267_94_04495","P86_93_04494","AB4_04992","CG964_00968","CG49_05404"
